round,alive_nodes,round_energy
84,100,0.019125683237005538
85,100,0.018224755032984624
86,100,0.018911459576959003
87,100,0.018767868554602322
88,100,0.018525628537094104
89,100,0.01800025940380283
90,100,0.01900356414329631
91,100,0.017954036232194912
92,100,0.018366645771627364
93,100,0.01869492387044698
94,100,0.01781576471013768
95,100,0.01829396889835773
96,100,0.018032087943039444
97,100,0.01791169966173483
98,100,0.018464948746620212
99,100,0.018138734313279184
100,100,0.017871886590581185
101,100,0.017803283922291517
102,100,0.018174165665973487
103,100,0.01770920385720223
104,100,0.01864319082752505
105,100,0.017944160541862656
106,100,0.017469351309733698
107,100,0.018210300500279938
108,100,0.01828831000922596
109,100,0.0182221365924821
110,100,0.018811117847495645
111,100,0.018703271267776427
112,100,0.017608363538481938
113,100,0.01856680276796344
114,100,0.017360506479297547
115,100,0.018343058534303337
116,100,0.018734740390596704
117,100,0.017460116818366785
118,100,0.018013209937191976
119,100,0.018019849949453697
120,100,0.018272673500599326
121,100,0.017983434769182724
122,100,0.017540818154375554
123,100,0.018967102013455753
124,100,0.018437449821982962
125,100,0.017927461297771327
126,100,0.018715434398487045
127,100,0.018577871023419172
128,100,0.018346246425842504
129,100,0.018070046607875426
130,100,0.018466395350631198
131,100,0.018772072340095213
132,100,0.01824413174350397
133,100,0.019243439859606304
134,100,0.017912116542213346
135,100,0.019941461796106258
136,100,0.018366376990747012
137,100,0.018984776824095852
138,100,0.018526878826687635
139,100,0.02014132240542341
140,100,0.01835947408718842
141,100,0.01794092453422187
142,100,0.018833801280265388
143,100,0.018060587816579543
144,100,0.01777018356652948
145,100,0.018030305911367152
146,100,0.018995174094833384
147,100,0.019033885014609057
148,100,0.018514146306126304
149,100,0.01824774054012307
150,100,0.018757023778308266
151,100,0.018330189021442803
152,100,0.018928274425026766
153,100,0.018917959135554847
154,100,0.01963470397239062
155,100,0.018582460096474362
156,100,0.019520136208501758
157,100,0.018487886707904546
158,100,0.01834630801399818
159,100,0.0184330003965514
160,100,0.018497261080354536
161,100,0.019334806125419438
162,100,0.01957071581808543
163,100,0.0184330003965514
164,100,0.019849871442215675
165,100,0.01870075241500694
166,100,0.018866889166337518
167,100,0.018398497044617785
168,100,0.019110582260728932
169,100,0.018370968094699867
170,100,0.018418981455482465
171,100,0.01855397808797085
172,100,0.01918561155693134
173,100,0.01883186196178593
174,100,0.019840743452397752
175,100,0.018699669727493838
176,100,0.017722028902504124
177,100,0.019313664936810953
178,100,0.019394454220808106
179,100,0.019434431034303916
180,100,0.017849623950851646
181,100,0.01929344190595513
182,100,0.019336533402147704
183,100,0.01867624621557354
184,100,0.01910629649600922
185,100,0.01853105580439836
186,100,0.01826780635630323
187,100,0.018312649633266235
188,100,0.018296503874003167
189,100,0.01823709446119871
190,100,0.019706920229170487
191,100,0.01908418385879248
192,100,0.019000552134734724
193,100,0.019203906852273016
194,100,0.019482707239882685
195,100,0.019697845734818413
196,100,0.019329699187616674
197,100,0.01859414836176042
198,100,0.019028664165841563
199,100,0.018950891647879685
200,100,0.01921210040576279
201,100,0.019027781072853186
202,100,0.019540982024011604
203,100,0.020044912147937778
204,100,0.02033397295803963
205,100,0.020061418116289916
206,100,0.019397380355503195
207,100,0.019948152728497627
208,100,0.018822275891344154
209,100,0.019653120462257537
210,100,0.019790417340179896
211,100,0.018790889161546278
212,100,0.020029420206019517
213,100,0.01996792657653512
214,100,0.019778302564831457
215,100,0.018985554569118206
216,100,0.019491208266892657
217,100,0.01830428290863494
218,100,0.018792825757727782
219,100,0.02003851838832195
220,100,0.01937576416188662
221,100,0.018755245706189937
222,100,0.019177177985922316
223,100,0.019544740520457855
224,100,0.0196269314223565
225,100,0.018744018480713456
226,100,0.018762830489338893
227,100,0.019237621230789235
228,100,0.02003052504870046
229,100,0.018634654225214292
230,100,0.0193550172089211
231,100,0.01862388969405904
232,100,0.01891703493468327
233,100,0.0198936412314211
234,100,0.018819109282180942
235,100,0.019116360007359504
236,100,0.019804495840689586
237,100,0.017678638100626407
238,100,0.01895056571815757
239,100,0.019496677661510746
240,100,0.018783600605750645
241,100,0.019316230996831784
242,100,0.019928660788987106
243,100,0.020109713354036537
244,100,0.019332568288267283
245,100,0.019426312810306486
246,100,0.019426897862549714
247,100,0.019428160264827708
248,100,0.019316263998081906
249,100,0.01883754057487862
250,100,0.01922399828621077
251,100,0.019656195049821842
252,100,0.019641324832347273
253,100,0.019103943974087052
254,100,0.01943778451435326
255,100,0.018785063069632617
256,100,0.018818070435779464
257,100,0.019322266043164796
258,100,0.02000747415076525
259,100,0.019252911271546557
260,100,0.01973367677416073
261,100,0.01983850145205729
262,100,0.018652107621930883
263,100,0.01987252913911984
264,100,0.020162900647910466
265,100,0.019682415411386833
266,100,0.019652727469158637
267,100,0.02036894839340698
268,100,0.018657108452317155
269,100,0.02021909777643123
270,100,0.019427266960717532
271,100,0.020203713738241154
272,100,0.01871035172228997
273,100,0.019552228398166848
274,100,0.01936505004728618
275,100,0.020185077240965677
276,100,0.019386993426874426
277,100,0.01965316402059116
278,100,0.020044330437754856
279,100,0.019573221552241008
280,100,0.02040268110573422
281,100,0.019561374495089257
282,100,0.020333257175114014
283,100,0.019820445192363596
284,100,0.020250484704801164
285,100,0.020161435121407518
286,100,0.018650110569179066
287,100,0.020259238670749104
288,100,0.019649196868662403
289,100,0.019048201450638205
290,100,0.01962122490700564
291,100,0.018916938053905753
292,100,0.019718325786139707
293,100,0.019723217000698293
294,100,0.01928925092979057
295,100,0.019246833736304623
296,100,0.02046663337143521
297,100,0.019154541098219794
298,100,0.018386280917480877
299,100,0.020210836229909112
300,100,0.01859700195393826
301,100,0.02047582722406395
302,100,0.02048761371621643
303,100,0.019566183066875267
304,100,0.020280635913318013
305,100,0.01953654278551098
306,100,0.01936094990659426
307,100,0.019966348472027592
308,100,0.01974756798410584
309,100,0.019335027451069582
310,100,0.019773947652723948
311,100,0.0197304096890977
312,100,0.019552062868023357
313,100,0.019386177638165063
314,100,0.019574954506338157
315,100,0.019776323329804425
316,100,0.019933055042752917
317,100,0.01932967896819308
318,100,0.019446487883188056
319,100,0.020032377739959396
320,100,0.020830145123041523
321,100,0.019517970342152597
322,100,0.020652210591479224
323,100,0.020186765241488984
324,100,0.01869825497738831
325,100,0.01934357223447457
326,100,0.01861135602002808
327,100,0.019974499435299112
328,100,0.019748518852220173
329,100,0.018376877261544303
330,100,0.019452673129687417
331,100,0.01932481719777067
332,100,0.020040389916602248
333,100,0.02054614263470275
334,100,0.018844710953757383
335,100,0.01820573751171912
336,100,0.0195896618616197
337,100,0.020401470347229486
338,100,0.02002194142096329
339,100,0.019189197296079884
340,100,0.018542268360892546
341,100,0.0188518153495822
342,100,0.01953369656219343
343,100,0.018442062316817307
344,100,0.019853353784365188
345,100,0.019592782073943927
346,100,0.01890950054696412
347,100,0.01887505542625066
348,100,0.019361246844503195
349,100,0.019718720468423864
350,100,0.019995260096223495
351,100,0.01964979033043086
352,100,0.019584012250187542
353,100,0.019114372021558603
354,100,0.019572252134618096
355,100,0.019217411934867035
356,100,0.018382788059158578
357,100,0.019024568059691657
358,100,0.018949157316871818
359,100,0.019874019655063607
360,100,0.019079464768151796
361,100,0.0185173842448958
362,100,0.01863619837602043
363,100,0.018902091942026442
364,100,0.019473483809461293
365,100,0.019783032816322085
366,100,0.019658679782773362
367,100,0.019271186506274112
368,100,0.01926706078321279
369,100,0.01914194154087558
370,100,0.019231774249116762
371,100,0.019683591741075764
372,100,0.01871349942599401
373,100,0.02018574224875379
374,100,0.019205840435675373
375,100,0.019729875488896674
376,100,0.019687049241981145
377,100,0.019112296580174312
378,100,0.018576814230907714
379,100,0.019536762884662374
